Designator,Mid X,Mid Y,Rotation,Layer
BT1,86.35,-39.37,0.0,bottom
C1,128.648,-42.14,270.0,top
C2,124.9375,-40.6,180.0,top
C3,138.3,-40.362,180.0,top
C4,130.68,-52.554,180.0,top
C5,124.076,-46.4365,270.0,top
C6,134.49,-52.3,270.0,top
C7,140.332,-47.728,270.0,top
D1,83.082,-69.348,90.0,top
D2,152.27,-32.3575,270.0,top
D3,79.87,-59.048,270.0,top
D4,148.46,-32.4995,270.0,top
D5,144.65,-32.4835,270.0,top
IC1,134.482,-44.688,270.0,top
IC2,80.5515,-53.419,180.0,top
J1,133.982,-34.52,180.0,top
J2,86.474,-40.506,90.0,top
J3,76.358,-69.691,0.0,top
J4,107.188,-61.99,90.0,top
J5,164.0,-51.0,180.0,top
J6,164.0,-71.0,180.0,top
L1,127.886,-48.998,90.0,top
L2,120.266,-45.442,0.0,top
Q1,159.824,-54.2535,270.0,top
Q2,159.824,-58.3175,270.0,top
Q3,159.8392,-62.2568,270.0,top
Q4,159.851121,-66.284835,270.0,top
R1,115.694,-51.284,270.0,top
R10,155.572,-55.2115,0.0,top
R11,155.572,-59.3335,0.0,top
R12,155.572,-63.302,0.0,top
R13,155.588,-67.286,0.0,top
R2,74.79,-63.366,180.0,top
R3,74.79,-65.538,180.0,top
R4,85.368,-69.348,90.0,top
R5,152.27,-28.5,90.0,top
R6,148.46,-28.6,90.0,top
R7,144.65,-28.6,90.0,top
R8,82.664,-58.794,90.0,top
R9,138.3,-49.76,270.0,top
TP1,121.536,-35.266,0.0,top
TP10,139.316,-35.266,0.0,top
TP2,79.8,-65.2,0.0,top
TP3,152.9,-72.1,0.0,top
TP4,158.75,-44.18,0.0,top
TP5,147.4,-72.0,0.0,top
TP6,149.984,-43.664,0.0,top
TP7,89.0,-72.0,0.0,top
TP8,158.0,-72.1,0.0,top
TP9,125.092,-35.282,0.0,top
